USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,611.8646123973595,36.4993791691752,300.0,0.0,648.3639915665347
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,497.0223313012397,36.4993791691752,300.0,0.0,533.521710470415
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,381.2387200322009,36.4993791691752,300.0,0.0,417.7380992013761
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,339.82019242376424,0.0,0.0,32.392112,372.21230442376424
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,293.6950139507325,0.0,0.0,0.0,293.6950139507325
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,252.74715142875542,0.0,0.0,32.392112,285.1392634287554
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,184.50071389212684,36.4993791691752,300.0,32.392112,253.39220506130204
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,200.0326617452906,0.0,0.0,0.0,200.0326617452906
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,199.56199665883108,0.0,0.0,0.0,199.56199665883108
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,164.73278026082755,19.58800015412402,161.0,0.0,184.32078041495157
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,176.49940742231524,0.0,0.0,0.0,176.49940742231524
durgadas#9280,missing user address,152.96615309933986,0.0,0.0,0.0,152.96615309933986
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,147.31817206182578,0.0,0.0,0.0,147.31817206182578
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,139.31686559201415,0.0,0.0,0.0,139.31686559201415
