USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,805.3051038480115,36.0325105358218,300.0,0.0,841.3376143838333
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,654.1555305103848,36.0325105358218,300.0,0.0,690.1880410462065
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,501.76702624376105,36.0325105358218,300.0,0.0,537.7995367795828
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,447.25406536789563,0.0,0.0,32.0625,479.31656536789563
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,386.54644984704555,0.0,0.0,0.0,386.54644984704555
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,332.6529544356786,0.0,0.0,32.0625,364.7154544356786
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,242.83046208340042,36.0325105358218,300.0,32.0625,310.9254726192222
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,263.2728224118499,0.0,0.0,0.0,263.2728224118499
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,262.6533569473515,0.0,0.0,0.0,262.6533569473515
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,216.81291257446466,19.33744732089103,161.0,0.0,236.15035989535568
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,232.2995491869264,0.0,0.0,0.0,232.2995491869264
durgadas#9280,missing user address,201.3262759620029,0.0,0.0,0.0,201.3262759620029
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,193.89269038802126,0.0,0.0,0.0,193.89269038802126
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,183.36177749154726,0.0,0.0,0.0,183.36177749154726
karmaticacid#1218,missing user address,173.4503300595717,0.0,0.0,0.0,173.4503300595717
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,130.0877475446788,0.0,0.0,32.0625,162.1502475446788
pKrepe#5682,missing user address,161.06102076960232,0.0,0.0,0.0,161.06102076960232
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,110.8843181452262,36.0325105358218,300.0,0.0,146.916828681048
MS#4235,missing user address,105.30912896473997,0.0,0.0,0.0,105.30912896473997
ZER8🧠#9093,missing user address,104.68966350024151,0.0,0.0,0.0,104.68966350024151
sem  🐝#0161,missing user address,94.15875060376752,0.0,0.0,0.0,94.15875060376752
ygg_anderson#4998,missing user address,87.34463049428433,0.0,0.0,0.0,87.34463049428433
natesuits#4789,missing user address,83.00837224279505,0.0,0.0,0.0,83.00837224279505
Jolie_Ze#0295,missing user address,66.9022701658348,0.0,0.0,0.0,66.9022701658348
David (please DYOR...)#4116,missing user address,65.66333923683787,0.0,0.0,0.0,65.66333923683787
mateodaza#3156,missing user address,65.0438737723394,0.0,0.0,0.0,65.0438737723394
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,60.08815005635164,0.0,0.0,0.0,60.08815005635164
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,55.13242634036387,0.0,0.0,0.0,55.13242634036387
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,17.964498470455645,34.35099337748345,286.0,0.0,52.31549184793909
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,50.176702624376105,0.0,0.0,0.0,50.176702624376105
r33pich33p#6906,missing user address,48.93777169537916,0.0,0.0,0.0,48.93777169537916
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,47.07937530188376,0.0,0.0,0.0,47.07937530188376
graial#0787,missing user address,47.07937530188376,0.0,0.0,0.0,47.07937530188376
🐙 octopus#5508,missing user address,46.45990983738528,0.0,0.0,0.0,46.45990983738528
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,43.9820479793914,0.0,0.0,0.0,43.9820479793914
LBS#6541,missing user address,42.12365158589599,0.0,0.0,0.0,42.12365158589599
Vitor Marthendal#0090,missing user address,40.26525519240058,0.0,0.0,0.0,40.26525519240058
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,3.716792786990823,36.0325105358218,300.0,0.0,39.74930332281262
solsista#5370,missing user address,39.64578972790211,0.0,0.0,0.0,39.64578972790211
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,3.0973273224923523,36.0325105358218,300.0,0.0,39.129837858314154
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,36.0325105358218,300.0,0.0,36.0325105358218
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,0.0,36.0325105358218,300.0,0.0,36.0325105358218
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,0.0,36.0325105358218,300.0,0.0,36.0325105358218
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,36.0325105358218,300.0,0.0,36.0325105358218
