USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,480.23765260821307,37.64150943396226,300.0,0.0,517.8791620421754
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,476.5604883462819,17.94245283018868,143.0,0.0,494.5029411764706
Juankbell#7458,missing user address,481.7085183129856,0.0,0.0,0.0,481.7085183129856
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,345.6534406215316,17.94245283018868,143.0,0.0,363.5958934517203
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,305.9400665926748,17.94245283018868,143.0,29.450000000000003,353.33251942286347
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,258.13693118756936,37.64150943396226,300.0,29.450000000000003,325.2284406215316
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,258.13693118756936,37.64150943396226,300.0,0.0,295.7784406215316
karmaticacid#1218,missing user address,271.37472253052164,0.0,0.0,0.0,271.37472253052164
"griff (💜, 💜)#8888",missing user address,264.7558268590455,0.0,0.0,0.0,264.7558268590455
natesuits#4789,missing user address,257.40149833518313,0.0,0.0,0.0,257.40149833518313
ALOYSIOUS#3049,missing user address,253.72433407325195,0.0,0.0,0.0,253.72433407325195
fabiomendes#4802,missing user address,252.9889012208657,0.0,0.0,0.0,252.9889012208657
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,250.04716981132074,0.0,0.0,0.0,250.04716981132074
chuygarcia.eth#6692,missing user address,247.84087125416204,0.0,0.0,0.0,247.84087125416204
Vitor Marthendal#0090,missing user address,211.80466148723642,0.0,0.0,0.0,211.80466148723642
iviangita#3204,missing user address,208.86293007769146,0.0,0.0,0.0,208.86293007769146
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,130.17161487236405,37.64150943396226,300.0,29.450000000000003,197.2631243063263
David (please DYOR...)#4116,missing user address,190.47710876803552,0.0,0.0,0.0,190.47710876803552
pKrepe#5682,missing user address,188.2708102108768,0.0,0.0,0.0,188.2708102108768
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,169.88498890122088,0.0,0.0,0.0,169.88498890122088
akrtws (TE Academy)#4246,missing user address,158.8534961154273,0.0,0.0,0.0,158.8534961154273
LBS#6541,missing user address,148.55743618201998,0.0,0.0,0.0,148.55743618201998
markop#2007,missing user address,131.64248057713652,0.0,0.0,0.0,131.64248057713652
sem  🐝#0161,missing user address,100.75430077691455,0.0,0.0,0.0,100.75430077691455
durgadas#9280,missing user address,94.87083795782463,0.0,0.0,0.0,94.87083795782463
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,49.274001109877915,37.64150943396226,300.0,0.0,86.91551054384018
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,84.57477802441731,0.0,0.0,0.0,84.57477802441731
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,83.83934517203107,0.0,0.0,0.0,83.83934517203107
MS#4235,missing user address,82.3684794672586,0.0,0.0,0.0,82.3684794672586
solsista#5370,missing user address,80.89761376248613,0.0,0.0,0.0,80.89761376248613
ygg_anderson#4998,missing user address,73.54328523862375,0.0,0.0,0.0,73.54328523862375
anna-marie#8824,missing user address,67.65982241953385,0.0,0.0,0.0,67.65982241953385
Suga#8514,missing user address,65.45352386237514,0.0,0.0,0.0,65.45352386237514
nic#9212,missing user address,63.247225305216425,0.0,0.0,0.0,63.247225305216425
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,61.040926748057714,0.0,0.0,0.0,61.040926748057714
r33pich33p#6906,missing user address,58.099195338512764,0.0,0.0,0.0,58.099195338512764
ZER8🧠#9093,missing user address,52.951165371809104,0.0,0.0,0.0,52.951165371809104
Jolie_Ze#0295,missing user address,50.00943396226415,0.0,0.0,0.0,50.00943396226415
ddan#2489,missing user address,49.274001109877915,0.0,0.0,0.0,49.274001109877915
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,11.031492785793564,37.64150943396226,300.0,0.0,48.67300221975583
freshelle#9882,missing user address,44.125971143174255,0.0,0.0,0.0,44.125971143174255
Caeser (PST)#0046,missing user address,42.655105438401776,0.0,0.0,0.0,42.655105438401776
rdfbbx#6437,missing user address,40.448806881243065,0.0,0.0,0.0,40.448806881243065
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,37.64150943396226,300.0,0.0,37.64150943396226
tigeroid#2951,0xd3898129d4acb0f8039b1b9d6367b236f1e6100f,0.0,37.64150943396226,300.0,0.0,37.64150943396226
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,0.0,37.64150943396226,300.0,0.0,37.64150943396226
Sha#6179,0x46d79ec988a2f603477e81ff2c0c7edef3901145,0.0,37.64150943396226,300.0,0.0,37.64150943396226
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,37.64150943396226,300.0,0.0,37.64150943396226
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,0.0,37.64150943396226,300.0,0.0,37.64150943396226
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,37.64150943396226,300.0,0.0,37.64150943396226
shawn#7046,0xc68e8827fc1dd3b2bc94ca8b0228268f16dd6cf6,0.0,37.64150943396226,300.0,0.0,37.64150943396226
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,37.64150943396226,300.0,0.0,37.64150943396226
santigs#9769,missing user address,36.03620976692564,0.0,0.0,0.0,36.03620976692564
mateodaza#3156,missing user address,33.09447835738069,0.0,0.0,0.0,33.09447835738069
witwiki#0518,missing user address,30.152746947835738,0.0,0.0,0.0,30.152746947835738
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0x5303d37018b0e7e6f4fe8c706b7001735e5d430a,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0xb22981ba3fe1de2325935c91a3b717168fb86714,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,29.450000000000003,29.450000000000003
heater#9765,missing user address,27.211015538290788,0.0,0.0,0.0,27.211015538290788
Letty#5399,missing user address,27.211015538290788,0.0,0.0,0.0,27.211015538290788
RodriCastillo#1415,missing user address,26.47558268590455,0.0,0.0,0.0,26.47558268590455
Yonks#7762,missing user address,25.740149833518313,0.0,0.0,0.0,25.740149833518313
elessar.eth#7945,missing user address,25.004716981132077,0.0,0.0,0.0,25.004716981132077
MsMagey#8357,missing user address,25.004716981132077,0.0,0.0,0.0,25.004716981132077
jugaadbhatia#0949,missing user address,23.5338512763596,0.0,0.0,0.0,23.5338512763596
amanwithwings#0165,missing user address,19.856687014428413,0.0,0.0,0.0,19.856687014428413
Stefano#8400,missing user address,19.856687014428413,0.0,0.0,0.0,19.856687014428413
Loie#2921,missing user address,19.121254162042174,0.0,0.0,0.0,19.121254162042174
MisterBoyfriend#7096,missing user address,16.914955604883463,0.0,0.0,0.0,16.914955604883463
Josxhua#9528,missing user address,16.914955604883463,0.0,0.0,0.0,16.914955604883463
