USER IDENTITY,round-1-noSourcecred,round-2-noSourcecred,round-3-noSourcecred,round-4-noSourcecred,round-5-noSourcecred
divine_comedian#5493,a,"336,787416925122","548,119277614448","517,879162042175","841,337614383833"
liviade#1387,"483,398776311034","316,209836065574","254,449459642092","494,502941176471","690,188041046207"
"griff (💜, 💜)#8888","446,778017958098","380,124590163934","330,939941201176","264,755826859045","537,799536779583"
chuygarcia.eth#6692,"127,496508147655","428,060655737705","241,094918101638","247,840871254162","479,316565367896"
Tam2140#9361,"142,877949781062","204,752990695614","348,391852162957","363,59589345172","386,546449847046"
Nuggan#5183,"228,20314266711","171,576229508197","604,413061738765","325,228440621532","364,715454435679"
Zeptimus#3359,"73,1544230129697","506,573083739477","304,279573039824","353,332519422863","310,925472619222"
Vyvy-vi#5040,"111,059931084565","62,6267611874169","140,910897256915","169,884988901221","263,27282241185"
Juankbell#7458,"58,8860991020951","228,747540983607","328,354472910542","481,708518312986","262,653356947351"
Mount Manu#3530,"118,852677086797","335,946433318564","380,491038810509","295,778440621532","236,150359895356"
iviangita#3204,"150,726804123711","429,74262295082","371,014699706006","208,862930077691","232,299549186926"
durgadas#9280,"22,6900565347522","63,9147540983607","52,3557328853423","94,8708379578246","201,326275962003"
eduardovegap#0422,"22,1498170934486","147,566105449712","107,296934061319","250,047169811321","193,892690388021"
acidlazzer#5796,"175,037578982374","173,636597252991","209,850131628652","84,5747780244173","183,361777491547"
karmaticacid#1218,"235,54439640838","313,686885245902","188,092818143637","271,374722530522","173,450330059572"
kristofer#1475,"39,1193382108414","68,5292202038104","245,679336413272","197,263124306326","162,150247544679"
pKrepe#5682,,"169,037704918033","212,008399832003","188,270810210877","161,061020769602"
GideonRo#3175,,"10,9327868852459","41,367492650147","83,8393451720311","146,916828681048"
MS#4235,,,"4,52456950860983","82,3684794672586","105,30912896474"
ZER8🧠#9093,"5,40239441303625","88,3032786885246","7,75640487190256","52,9511653718091","104,689663500242"
sem  🐝#0161,"311,177918190888","135,398360655738","69,1612767744645","100,754300776915","94,1587506037675"
ygg_anderson#4998,"118,852677086797","50,4590163934426","108,589668206636","73,5432852386238","87,3446304942843"
natesuits#4789,"360,879946790821","484,406557377049","387,820243595128","257,401498335183","83,0083722427951"
Jolie_Ze#0295,,"23,5475409836066","35,5501889962201","50,0094339622642","66,9022701658348"
David (please DYOR...)#4116,"39,4374792151646","132,034426229508","138,322553548929","190,477108768036","65,6633392368379"
mateodaza#3156,"31,3338875956102","47,0950819672131","17,4519109617808","33,0944783573807","65,0438737723394"
akrtws (TE Academy)#4246,"35,6558031260392","121,94262295082","46,5384292314154","158,853496115427","60,0881500563516"
markop#2007,"152,887761888926","234,634426229508","134,444351112978","131,642480577137","55,1324263403639"
AmwFund#0979,"51,239180670811","65,9906956136464","70,8812110070648","86,9155105438402","52,3154918479391"
ALOYSIOUS#3049,,"77,3704918032787","58,1730365392692","253,724334073252","50,1767026243761"
r33pich33p#6906,,,"91,7841243175137","58,0991953385128","48,9377716953792"
nic#9212,"18,9083804456269","23,5475409836066","43,9529609407812","63,2472253052164","47,0793753018838"
graial#0787,,,,"3,67716426193119","47,0793753018838"
🐙 octopus#5508,"71,3116062520785","73,1655737704918","5,81730365392692",,"46,4599098373853"
metaverde#2503,"3,78167608912537",,"5,17093658126838","61,0409267480577","43,9820479793914"
LBS#6541,,,,"148,55743618202","42,123651585896"
Vitor Marthendal#0090,"90,760226139009","486,929508196721","279,230575388492","211,804661487236","40,2652551924006"
innov8tor3#3988,"27,5522115064849","42,4431546300399","73,466679297699","5,8834628190899","39,7493033228126"
solsista#5370,"41,5984369803791","18,5016393442623","38,7820243595128","80,8976137624861","39,6457897279021"
bends#3537,"40,4069339321217","32,3513513513514","49,5510976093327","6,61889567147614","39,1298378583142"
Maxwe11#7157,,,"41,7946927374302","37,6415094339623","36,0325105358218"
Mike Brunt#0745,,,,,"36,0325105358218"
Parrachia#0450,,"32,3513513513514","41,7946927374302","37,6415094339623","36,0325105358218"
lee0007#8152,,,"32,3212290502793","37,6415094339623","36,0325105358218"
hanners717#2022,,,,"37,6415094339623","36,0325105358218"
Usua◎ Silver#2618,"37,1245409015025","32,3513513513514",,"37,6415094339623","36,0325105358218"
missgene#7773,,,,,"36,0325105358218"
fabiomendes#4802,,"141,285245901639","294,743385132297","252,988901220866","32,2122041539205"
elessar.eth#7945,"8,10359161955437","137,92131147541","64,6367072658547","25,0047169811321","31,592738689422"
casale.eth#6107,,,,"2,20629855715871","29,1148768314281"
hz#8826,,,"18,0982780344393","5,14802996670366","28,4954113669296"
rdfbbx#6437,,,"44,5993280134397","40,4488068812431","25,3980840444373"
Pythagorean#5361,,,,,"24,7786185799388"
pat.zip (TE Academy)#5266,,,,,"24,1591531154403"
AnaTech#7412,,,,,"23,5396876509419"
Yineisy Mota#1449,,"9,25081967213115","9,04913901721966","13,9732241953385","22,9202221864434"
johnjonas#2307,,,,,"22,9202221864434"
